grid,cell_value,n,d,method,n_reps_ok,mean_fit_seconds,sd_fit_seconds,statuses
micro,n100_d10,100,10,AutoEncoder,2,0.8762,1.1775,OK
micro,n100_d10,100,10,ECOD,2,0.8192,1.1569,OK
micro,n100_d10,100,10,LUNAR,2,3.8667,2.6524,OK
micro,n100_d40,100,40,AutoEncoder,2,0.0377,0.0059,OK
micro,n100_d40,100,40,ECOD,2,0.0011,0.0001,OK
micro,n100_d40,100,40,LUNAR,2,1.9244,0.3396,OK
micro,n200_d10,200,10,AutoEncoder,2,0.0778,0.007,OK
micro,n200_d10,200,10,ECOD,2,0.0011,0.0,OK
micro,n200_d10,200,10,LUNAR,2,2.2598,0.1639,OK
