"rho","method","n_reps","TPR_mean","TNR_mean","BA_mean","F2_mean","BA_sd","F2_sd","BA_se","F2_se"
0,"RKCCD-IOS",20,0.994,0.988225,0.99109,0.953345,0.011821430138791,0.0362773740563047,0.00264335213816014,0.00811186744350847
0.3,"RKCCD-IOS",20,0.998,0.98022,0.989105,0.92988,0.00669095815654468,0.0356606756732635,0.00149614372726406,0.00797396949289902
0.5,"RKCCD-IOS",20,1,0.975455,0.987735,0.919995,0.0111584886262008,0.0671422408026423,0.00249511390943432,0.0150134614596368
0.7,"RKCCD-IOS",20,1,0.97292,0.98646,0.911015,0.00986852519243296,0.0606580517066128,0.00220666931679493,0.0135635526998683
0.9,"RKCCD-IOS",20,1,0.970895,0.985465,0.903335,0.00795356755438117,0.0473752686424823,0.00177847177152331,0.0105934321136905
0,"RKCCD-OOS",20,0.956,0.986855,0.971415,0.91837,0.0217382097505267,0.0401539550388646,0.00486081147113265,0.00897869730323714
0.3,"RKCCD-OOS",20,0.964,0.984965,0.974465,0.9182,0.0211083738684064,0.0368306508509592,0.00471997588642369,0.00823558389583053
0.5,"RKCCD-OOS",20,0.976,0.98376,0.9799,0.92458,0.0271342859438794,0.0551858734784451,0.00606741078914314,0.0123399364495506
0.7,"RKCCD-OOS",20,0.995,0.98285,0.988945,0.937205,0.0160358635892375,0.0504180468420626,0.00358572810634487,0.0112738180031621
0.9,"RKCCD-OOS",20,0.985,0.97661,0.980825,0.9089,0.0201799242343787,0.0505076961306003,0.00451236823688661,0.0112938641934925
0,"UNCCD-IOS",20,1,0.951485,0.975735,0.84497,0.00443482332170478,0.0244561282816049,0.000991656641553332,0.00546855653041237
0.3,"UNCCD-IOS",20,1,0.953265,0.976635,0.850265,0.00567490088019163,0.0308937274335235,0.00126894641336819,0.00690804746197086
0.5,"UNCCD-IOS",20,1,0.95765,0.978815,0.86408,0.00795111875610496,0.0436265684380999,0.00177792420358243,0.00975519726526381
0.7,"UNCCD-IOS",20,1,0.962715,0.981345,0.87818,0.00695961848621633,0.0398567381875056,0.00155621800326439,0.00891223759486743
0.9,"UNCCD-IOS",20,1,0.96626,0.983125,0.887895,0.00526936278979975,0.0309888685447567,0.00117826533961002,0.00692932166118809
0,"UNCCD-OOS",20,0.758,0.98739,0.87267,0.757475,0.0452519159233821,0.0800349981011597,0.0101186360116788,0.017896369633326
0.3,"UNCCD-OOS",20,0.73,0.983075,0.85652,0.721615,0.0545494136202745,0.0979565170718217,0.0121976196987687,0.0219037431011712
0.5,"UNCCD-OOS",20,0.838,0.980155,0.90909,0.802415,0.0568600766424868,0.0919907963073652,0.0127142996578448,0.0205697673847605
0.7,"UNCCD-OOS",20,0.792,0.97571,0.883875,0.7536,0.0600661992261345,0.103436041769018,0.0134312104619682,0.0231290020719033
0.9,"UNCCD-OOS",20,0.809,0.97825,0.893635,0.77233,0.0755479302374188,0.128157079193342,0.016893030757028,0.0286567940874136
