"grid","cell_value","n","d","method","rep","seed","t_construct","t_total","seconds","status","timestamp"
"n","2000",2000,20,"RKCCD-IOS",4,4004,61.8743,62.3037,126.1841,"OK","2026-07-18 13:15:32"
"n","2000",2000,20,"RKCCD-IOS",5,5004,63.773,63.9849,129.762,"OK","2026-07-18 13:17:42"
"n","2000",2000,20,"RKCCD-IOS",6,6004,61.2283,62.1829,125.4465,"OK","2026-07-18 13:19:48"
"n","2000",2000,20,"RKCCD-IOS",7,7004,61.2775,61.7229,124.9959,"OK","2026-07-18 13:21:53"
"n","2000",2000,20,"RKCCD-IOS",8,8004,60.4384,62.2406,124.6999,"OK","2026-07-18 13:23:58"
"n","2000",2000,20,"RKCCD-IOS",9,9004,61.7504,62.1434,125.8893,"OK","2026-07-18 13:26:04"
"n","2000",2000,20,"RKCCD-IOS",10,10004,61.4908,62.6963,126.1816,"OK","2026-07-18 13:28:10"
"n","500",500,20,"UNCCD-OOS",1,1002,281.8905,278.6474,560.5563,"OK","2026-07-18 13:37:31"
"n","500",500,20,"UNCCD-OOS",2,2002,NA,282.9841,282.9922,"OK_NOCONSTRUCT","2026-07-18 13:42:14"
"n","500",500,20,"UNCCD-OOS",3,3002,NA,277.0934,277.0942,"OK_NOCONSTRUCT","2026-07-18 13:46:51"
"n","500",500,20,"UNCCD-OOS",4,4002,NA,280.6493,280.6503,"OK_NOCONSTRUCT","2026-07-18 13:51:32"
"n","500",500,20,"UNCCD-OOS",5,5002,NA,280.848,280.8488,"OK_NOCONSTRUCT","2026-07-18 13:56:13"
"n","500",500,20,"UNCCD-OOS",6,6002,NA,283.001,283.002,"OK_NOCONSTRUCT","2026-07-18 14:00:56"
"n","500",500,20,"UNCCD-OOS",7,7002,NA,281.0148,281.0158,"OK_NOCONSTRUCT","2026-07-18 14:05:37"
"n","500",500,20,"UNCCD-OOS",8,8002,NA,286.9516,286.9526,"OK_NOCONSTRUCT","2026-07-18 14:10:24"
"n","500",500,20,"UNCCD-OOS",9,9002,NA,286.1864,286.1922,"OK_NOCONSTRUCT","2026-07-18 14:15:10"
"n","500",500,20,"UNCCD-OOS",10,10002,NA,288.2103,288.2113,"OK_NOCONSTRUCT","2026-07-18 14:19:58"
"n","500",500,20,"UNCCD-IOS",1,1002,288.0516,292.9799,581.036,"OK","2026-07-18 14:29:39"
"n","500",500,20,"UNCCD-IOS",2,2002,NA,298.9701,298.9709,"OK_NOCONSTRUCT","2026-07-18 14:34:38"
"n","500",500,20,"UNCCD-IOS",3,3002,NA,286.2008,286.2017,"OK_NOCONSTRUCT","2026-07-18 14:39:25"
"n","500",500,20,"UNCCD-IOS",4,4002,NA,283.1723,283.173,"OK_NOCONSTRUCT","2026-07-18 14:44:08"
"n","500",500,20,"UNCCD-IOS",5,5002,NA,290.7908,290.7916,"OK_NOCONSTRUCT","2026-07-18 14:48:59"
"n","500",500,20,"UNCCD-IOS",6,6002,NA,285.4151,285.4159,"OK_NOCONSTRUCT","2026-07-18 14:53:44"
"n","500",500,20,"UNCCD-IOS",7,7002,NA,284.5225,284.5233,"OK_NOCONSTRUCT","2026-07-18 14:58:29"
"n","500",500,20,"UNCCD-IOS",8,8002,NA,286.9548,286.9558,"OK_NOCONSTRUCT","2026-07-18 15:03:16"
"n","500",500,20,"UNCCD-IOS",9,9002,NA,287.0675,287.0686,"OK_NOCONSTRUCT","2026-07-18 15:08:03"
"n","500",500,20,"UNCCD-IOS",10,10002,NA,285.9539,285.955,"OK_NOCONSTRUCT","2026-07-18 15:12:49"
