"dataset","method","n","d","min_cls","min_cls_readings","min_cls_units","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","unassigned_rows","quant_used","quant_label","param_source","t_construct","t_total","status","timestamp"
"vowels","U-MCCD",1452,12,NA,NA,NA,1,0.327169274537696,0.663584637268848,0.195578231292517,1,0.327,0.664,0.196,0.000421768707483033,TRUE,0,0.999,"999","quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",23.7648859024048,23.7648859024048,"ok","2026-08-08 21:45:43"
"vowels","SU-MCCD",1452,12,0.0158402203856749,"half_contam","proportion",1,0.316500711237553,0.658250355618777,0.19311502938707,1,0.373,0.686,0.207,0.0564992887624466,FALSE,0,0.999,"999","quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",16.0040271282196,16.0040271282196,"ok","2026-08-08 21:46:01"
"vowels","UN-MCCD",1452,12,NA,NA,NA,1,0.541251778093883,0.770625889046942,0.262857142857143,1,0.541,0.771,0.263,0.000374110953058282,TRUE,0,0.99,"99","quant=99 (paper default (SM L657-667; == harness nn_quant_for_d(), unchanged))",23.4442610740662,23.4442610740662,"ok","2026-08-08 21:46:25"
"vowels","SUN-MCCD",1452,12,0.0158402203856749,"half_contam","proportion",0.978260869565217,0.562588904694168,0.770424887129693,0.266587677725118,0.978,0.676,0.827,0.328,0.113411095305832,FALSE,0,0.999,"999","quant=999 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD)",16.0652949810028,16.0652949810028,"ok","2026-08-08 21:46:41"
"vowels","SU-MCCD",1452,12,0.0316804407713499,"full_contam","proportion",1,0.316500711237553,0.658250355618777,0.19311502938707,1,0.373,0.686,0.207,0.0564992887624466,FALSE,0,0.999,"999","quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",16.891303062439,16.891303062439,"ok","2026-08-08 21:47:10"
"vowels","SUN-MCCD",1452,12,0.0316804407713499,"full_contam","proportion",0.978260869565217,0.562588904694168,0.770424887129693,0.266587677725118,0.978,0.676,0.827,0.328,0.113411095305832,FALSE,0,0.999,"999","quant=999 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD)",15.8417799472809,15.8417799472809,"ok","2026-08-08 21:47:26"
"waveform","U-MCCD",3443,21,NA,NA,NA,0.77,0.685013460963207,0.727506730481603,0.251633986928105,0.87,0.678,0.774,0.278,0.1,FALSE,0,0.999,"999","quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",393.244892835617,393.244892835617,"ok","2026-08-08 21:54:09"
"waveform","UN-MCCD",3443,21,NA,NA,NA,0.54,0.700867484295543,0.620433742147771,0.185694635488308,0.86,0.664,0.762,0.267,0.32,FALSE,0,0.999,"999","quant=999 (paper default (SM L657-667; == harness nn_quant_for_d(), unchanged))",431.994699954987,431.994699954987,"ok","2026-08-08 22:01:30"
"waveform","SU-MCCD",3443,21,0.0145222189950624,"half_contam","proportion",0.47,0.812443912653305,0.641221956326653,0.218808193668529,0.83,0.774,0.802,0.335,0.36,FALSE,0,0.999,"999","quant=999 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",281.848072052002,281.848072052002,"ok","2026-08-08 22:06:21"
