"dataset","method","s_min","n","d","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","quant_label","t_total","status","note","timestamp"
"wilt","U-MCCD",NA,4819,5,0.762645914396887,0.629767645769399,0.696206780083143,0.336422931685548,0.763,0.63,0.696,0.336,0,TRUE,"99",1165.93482708931,"ok",NA,"2026-08-08 22:41:28"
"wilt","SU-MCCD",0.0625,4819,5,0.295719844357977,0.785181937746602,0.540450891052289,0.182341650671785,0.3,0.785,0.542,0.185,0.004,FALSE,"99",1117.06584906578,"ok",NA,"2026-08-08 23:00:05"
"wilt","UN-MCCD",NA,4819,5,0.140077821011673,0.897632617273126,0.5188552191424,0.117570215545395,0.14,0.897,0.519,0.117,0.001,FALSE,"95",1217.66053700447,"ok",NA,"2026-08-08 23:20:23"
"wilt","SUN-MCCD",0.0625,4819,5,0.365758754863813,0.745067952652345,0.555413353758079,0.205689277899344,0.366,0.745,0.555,0.206,0,TRUE,"95",940.374652862549,"ok",NA,"2026-08-08 23:36:03"
