"dataset","method","s_min","n","d","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","quant_label","t_total","status","note","timestamp"
"waveform","U-MCCD",NA,3443,21,0.77,0.685013460963207,0.727506730481603,0.251633986928105,0.87,0.678,0.774,0.278,0.1,FALSE,"999",407.847696065903,"ok",NA,"2026-08-08 22:28:47"
"waveform","SU-MCCD",0.0625,3443,21,0.47,0.812443912653305,0.641221956326653,0.218808193668529,0.83,0.774,0.802,0.335,0.36,FALSE,"999",282.576339006424,"ok",NA,"2026-08-08 22:33:29"
"waveform","UN-MCCD",NA,3443,21,0.54,0.700867484295543,0.620433742147771,0.185694635488308,0.86,0.664,0.762,0.267,0.32,FALSE,"999",433.246797084808,"ok",NA,"2026-08-08 22:40:43"
"waveform","SUN-MCCD",0.0625,3443,21,0.32,0.919533353275501,0.619766676637751,0.228245363766048,0.62,0.898,0.759,0.387,0.3,FALSE,"999",266.490767002106,"ok",NA,"2026-08-08 22:45:09"
