"dataset","method","variant","params","n","d","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","t_total","status","note","timestamp"
"hepatitis","SUN-MCCD","smin=0.15","min.cls=0.15 (proportion of n; round(min.cls*n)=11), quant=999 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",74,19,0.714285714285714,0.656716417910448,0.685501066098081,0.446428571428572,0.714,0.657,0.686,0.446,0.000498933901919019,TRUE,0.0212140083312988,"ok",NA,"2026-08-08 21:49:14"
"hepatitis","SUN-MCCD","smin=0.20","min.cls=0.20 (proportion of n; round(min.cls*n)=15), quant=999 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",74,19,0.714285714285714,0.656716417910448,0.685501066098081,0.446428571428572,0.714,0.657,0.686,0.446,0.000498933901919019,TRUE,0.0197939872741699,"ok",NA,"2026-08-08 21:49:14"
"glass","SU-MCCD","smin=0.01","min.cls=0.01 (proportion of n; round(min.cls*n)=2), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",213,9,1,0.5,0.75,0.306122448979592,1,0.363,0.681,0.257,0.137,FALSE,3.1254711151123,"ok",NA,"2026-08-08 21:49:17"
"glass","SU-MCCD","smin=0.02","min.cls=0.02 (proportion of n; round(min.cls*n)=4), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",213,9,1,0.5,0.75,0.306122448979592,1,0.363,0.681,0.257,0.137,FALSE,3.12213611602783,"ok",NA,"2026-08-08 21:49:20"
"glass","SU-MCCD","smin=0.03","min.cls=0.03 (proportion of n; round(min.cls*n)=6), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",213,9,1,0.647058823529412,0.823529411764706,0.384615384615385,1,0.363,0.681,0.257,0.284058823529412,FALSE,3.06796503067017,"ok",NA,"2026-08-08 21:49:23"
"glass","SU-MCCD","smin=0.05","min.cls=0.05 (proportion of n; round(min.cls*n)=11), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",213,9,1,0.647058823529412,0.823529411764706,0.384615384615385,1,0.363,0.681,0.257,0.284058823529412,FALSE,3.02917003631592,"ok",NA,"2026-08-08 21:49:27"
"glass","SU-MCCD","smin=0.0625","min.cls=0.0625 (proportion of n; round(min.cls*n)=13), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",213,9,1,0.647058823529412,0.823529411764706,0.384615384615385,1,0.363,0.681,0.257,0.284058823529412,FALSE,3.00269198417664,"ok",NA,"2026-08-08 21:49:30"
"glass","SU-MCCD","smin=0.10","min.cls=0.10 (proportion of n; round(min.cls*n)=21), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",213,9,1,0.647058823529412,0.823529411764706,0.384615384615385,1,0.363,0.681,0.257,0.284058823529412,FALSE,2.99893403053284,"ok",NA,"2026-08-08 21:49:33"
"glass","SU-MCCD","smin=0.15","min.cls=0.15 (proportion of n; round(min.cls*n)=32), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",213,9,1,0.647058823529412,0.823529411764706,0.384615384615385,1,0.363,0.681,0.257,0.284058823529412,FALSE,3.05667114257812,"ok",NA,"2026-08-08 21:49:36"
"glass","SU-MCCD","smin=0.20","min.cls=0.20 (proportion of n; round(min.cls*n)=43), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",213,9,1,0.647058823529412,0.823529411764706,0.384615384615385,1,0.363,0.681,0.257,0.284058823529412,FALSE,3.05041217803955,"ok",NA,"2026-08-08 21:49:39"
"glass","SUN-MCCD","smin=0.01","min.cls=0.01 (proportion of n; round(min.cls*n)=2), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",213,9,0.222222222222222,0.764705882352941,0.493464052287582,0.116279069767442,1,0.54,0.77,0.324,0.777777777777778,FALSE,0.229984045028687,"ok",NA,"2026-08-08 21:49:39"
"glass","SUN-MCCD","smin=0.02","min.cls=0.02 (proportion of n; round(min.cls*n)=4), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",213,9,0.222222222222222,0.764705882352941,0.493464052287582,0.116279069767442,1,0.54,0.77,0.324,0.777777777777778,FALSE,0.24506688117981,"ok",NA,"2026-08-08 21:49:39"
"glass","SUN-MCCD","smin=0.03","min.cls=0.03 (proportion of n; round(min.cls*n)=6), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",213,9,0.222222222222222,0.764705882352941,0.493464052287582,0.116279069767442,1,0.54,0.77,0.324,0.777777777777778,FALSE,0.216871976852417,"ok",NA,"2026-08-08 21:49:40"
"glass","SUN-MCCD","smin=0.05","min.cls=0.05 (proportion of n; round(min.cls*n)=11), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",213,9,1,0.53921568627451,0.769607843137255,0.323741007194245,1,0.54,0.77,0.324,0.00078431372549026,FALSE,0.124565124511719,"ok",NA,"2026-08-08 21:49:40"
"glass","SUN-MCCD","smin=0.0625","min.cls=0.0625 (proportion of n; round(min.cls*n)=13), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",213,9,1,0.53921568627451,0.769607843137255,0.323741007194245,1,0.54,0.77,0.324,0.00078431372549026,FALSE,0.122347116470337,"ok",NA,"2026-08-08 21:49:40"
"glass","SUN-MCCD","smin=0.10","min.cls=0.10 (proportion of n; round(min.cls*n)=21), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",213,9,1,0.53921568627451,0.769607843137255,0.323741007194245,1,0.54,0.77,0.324,0.00078431372549026,FALSE,0.126173973083496,"ok",NA,"2026-08-08 21:49:40"
"glass","SUN-MCCD","smin=0.15","min.cls=0.15 (proportion of n; round(min.cls*n)=32), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",213,9,1,0.53921568627451,0.769607843137255,0.323741007194245,1,0.54,0.77,0.324,0.00078431372549026,FALSE,0.154408931732178,"ok",NA,"2026-08-08 21:49:40"
"glass","SUN-MCCD","smin=0.20","min.cls=0.20 (proportion of n; round(min.cls*n)=43), quant=95 (paper default (SM L668-677): forces 999% at d>=10, unlike UN-MCCD), low.num=3 (default)",213,9,1,0.53921568627451,0.769607843137255,0.323741007194245,1,0.54,0.77,0.324,0.00078431372549026,FALSE,0.132586002349854,"ok",NA,"2026-08-08 21:49:40"
"vertebral","SU-MCCD","smin=0.01","min.cls=0.01 (proportion of n; round(min.cls*n)=2), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",240,6,0.133333333333333,0.852380952380952,0.492857142857143,0.129032258064516,0.2,0.576,0.388,0.14,0.276380952380952,FALSE,3.59938907623291,"ok",NA,"2026-08-08 21:49:44"
"vertebral","SU-MCCD","smin=0.02","min.cls=0.02 (proportion of n; round(min.cls*n)=5), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",240,6,0.133333333333333,0.852380952380952,0.492857142857143,0.129032258064516,0.2,0.576,0.388,0.14,0.276380952380952,FALSE,3.6725800037384,"ok",NA,"2026-08-08 21:49:48"
"vertebral","SU-MCCD","smin=0.03","min.cls=0.03 (proportion of n; round(min.cls*n)=7), quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%), low.num=2 (default)",240,6,0.133333333333333,0.852380952380952,0.492857142857143,0.129032258064516,0.2,0.576,0.388,0.14,0.276380952380952,FALSE,3.59403991699219,"ok",NA,"2026-08-08 21:49:51"
