"dataset","method","params","n","d","n0","TPR","TNR","BA","F2","t_total","status","note","timestamp"
"PenDigits","iForest","ntrees=1000, sample_size=256, seed=1, threshold=0.55",3200,16,20,0.1,0.904088050314465,0.502044025157233,0.0258397932816537,0.0223929882049561,"ok",NA,"2026-08-09 00:30:48"
"thyroid","LOF","MinPts=11..30, max over k, threshold=1.5",3656,6,93,0.193548387096774,0.962952568060623,0.578250477578699,0.172413793103448,0.955536127090454,"ok",NA,"2026-08-09 00:30:49"
"thyroid","DBSCAN","minPts=4, eps=3.6340 (4-dist at 1-contam=0.9746), input=X (df->X defect fixed)",3656,6,93,0.387096774193548,0.991860791467864,0.689478782830706,0.411899313501144,0.747949123382568,"ok",NA,"2026-08-09 00:30:49"
"thyroid","MST","cont=0.02, thresh=1.2 (uniform across all data sets)",3656,6,93,1,0.182430536065114,0.591215268032557,0.13765541740675,21.2369699478149,"ok",NA,"2026-08-09 00:31:11"
"thyroid","ODIN","k=round(sqrt(n))=60, indeg_thr=round(n^(1/3))=15 (defaults)",3656,6,93,0.0967741935483871,0.971091776592759,0.533932985070573,0.0929752066115702,1.23018598556519,"ok",NA,"2026-08-09 00:31:12"
"thyroid","iForest","ntrees=1000, sample_size=256, seed=1, threshold=0.55",3656,6,93,0.806451612903226,0.966881841145102,0.886666727024164,0.663716814159292,0.0223419666290283,"ok",NA,"2026-08-09 00:31:12"
"pageblocks","LOF","MinPts=11..30, max over k, threshold=1.5",4795,10,510,0.201960784313725,0.947724620770128,0.574842702541927,0.217574989438107,1.24496793746948,"ok",NA,"2026-08-09 00:31:13"
"pageblocks","DBSCAN","minPts=4, eps=2.5669 (4-dist at 1-contam=0.8936), input=X (df->X defect fixed)",4795,10,510,0.515686274509804,0.974095682613769,0.744890978561787,0.544739022369511,1.84122204780579,"ok",NA,"2026-08-09 00:31:15"
"pageblocks","MST","cont=0.02, thresh=1.2 (uniform across all data sets)",4795,10,510,1,0.0226371061843641,0.511318553092182,0.378450578806768,48.7724099159241,"ok",NA,"2026-08-09 00:32:04"
"pageblocks","ODIN","k=round(sqrt(n))=69, indeg_thr=round(n^(1/3))=17 (defaults)",4795,10,510,0.0647058823529412,0.990198366394399,0.52745212437367,0.0780141843971631,1.9544198513031,"ok",NA,"2026-08-09 00:32:06"
"pageblocks","iForest","ntrees=1000, sample_size=256, seed=1, threshold=0.55",4795,10,510,0.317647058823529,0.962193698949825,0.639920378886677,0.342639593908629,0.0274770259857178,"ok",NA,"2026-08-09 00:32:06"
