"dataset","method","F2","BA","TPR","TNR","group"
"pima","SUN-MCCD",0.497,0.721,0.891,0.552,"new"
"pima","LOF",0.098,0.514,0.091,0.938,"new"
"pima","DBSCAN",0.084,0.522,0.073,0.972,"new"
"pima","MST",0.327,0.564,0.545,0.582,"new"
"pima","ODIN",0.144,0.524,0.145,0.902,"new"
"pima","iForest",0.083,0.518,0.073,0.964,"new"
"shuffle","U-MCCD",0.224,0.887,1,0.775,"new"
"shuffle","SU-MCCD",0.179,0.851,1,0.702,"new"
"shuffle","UN-MCCD",0.183,0.855,1,0.709,"new"
"shuffle","SUN-MCCD",0.162,0.832,1,0.664,"new"
"shuffle","LOF",0.389,0.949,1,0.898,"new"
"shuffle","DBSCAN",0.317,0.65,0.308,0.993,"new"
"shuffle","MST",0.065,0.534,1,0.069,"new"
"shuffle","ODIN",0.243,0.669,0.385,0.954,"new"
"shuffle","iForest",0.174,0.624,0.308,0.941,"new"
"PenDigits","U-MCCD",0.046,0.672,1,0.343,"new"
"PenDigits","SU-MCCD",0.033,0.54,1,0.079,"new"
"PenDigits","UN-MCCD",0.034,0.552,1,0.103,"new"
"PenDigits","SUN-MCCD",0.033,0.54,1,0.079,"new"
"PenDigits","LOF",0.053,0.533,0.1,0.967,"new"
"PenDigits","DBSCAN",0,0.499,0,0.997,"new"
"PenDigits","MST",0.043,0.651,1,0.302,"new"
"PenDigits","ODIN",0.027,0.508,0.05,0.966,"new"
"PenDigits","iForest",0.026,0.502,0.1,0.904,"new"
"thyroid","U-MCCD",0.293,0.842,1,0.685,"new"
"thyroid","SU-MCCD",0.327,0.866,1,0.732,"new"
"thyroid","UN-MCCD",0.261,0.815,1,0.63,"new"
"thyroid","SUN-MCCD",0.389,0.894,0.989,0.798,"new"
"thyroid","LOF",0.172,0.578,0.194,0.963,"new"
"thyroid","DBSCAN",0.412,0.689,0.387,0.992,"new"
"thyroid","MST",0.138,0.591,1,0.182,"new"
"thyroid","ODIN",0.093,0.534,0.097,0.971,"new"
"thyroid","iForest",0.664,0.887,0.806,0.967,"new"
"pageblocks","U-MCCD",0.57,0.775,0.986,0.563,"new"
"pageblocks","SU-MCCD",0.525,0.73,0.986,0.474,"new"
"pageblocks","UN-MCCD",0.1,0.511,0.094,0.929,"new"
"pageblocks","SUN-MCCD",0.526,0.732,0.986,0.478,"new"
"pageblocks","LOF",0.218,0.575,0.202,0.948,"new"
"pageblocks","DBSCAN",0.545,0.745,0.516,0.974,"new"
"pageblocks","MST",0.378,0.511,1,0.023,"new"
"pageblocks","ODIN",0.078,0.527,0.065,0.99,"new"
"pageblocks","iForest",0.343,0.64,0.318,0.962,"new"
