"dataset","method","s_min","n","d","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","quant_label","t_total","status","note","timestamp"
"thyroid","U-MCCD",NA,3656,6,1,0.684535503788942,0.842267751894471,0.292636878539962,NA,NA,NA,NA,NA,FALSE,"99",432.934204101562,"ok",NA,"2026-08-09 00:37:35"
"thyroid","SU-MCCD",0.0625,3656,6,1,0.731686780802694,0.865843390401347,0.327234342012667,NA,NA,NA,NA,NA,FALSE,"99",306.938500881195,"ok",NA,"2026-08-09 00:42:42"
"thyroid","UN-MCCD",NA,3656,6,1,0.629525680606231,0.814762840303115,0.260504201680672,NA,NA,NA,NA,NA,FALSE,"95",383.154911994934,"ok",NA,"2026-08-09 00:49:05"
"thyroid","SUN-MCCD",0.0625,3656,6,0.989247311827957,0.797923098512489,0.893585205170223,0.388513513513514,NA,NA,NA,NA,NA,FALSE,"95",271.632380962372,"ok",NA,"2026-08-09 00:53:37"
