"dataset","method","s_min","n","d","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","quant_label","t_total","status","note","timestamp"
"PenDigits","U-MCCD",NA,3200,16,1,0.343396226415094,0.671698113207547,0.0457038391224863,NA,NA,NA,NA,NA,FALSE,"999",351.59083199501,"ok",NA,"2026-08-09 00:36:12"
"PenDigits","SU-MCCD",0.0625,3200,16,1,0.0792452830188679,0.539622641509434,0.0330250990752972,NA,NA,NA,NA,NA,FALSE,"999",194.466586828232,"ok",NA,"2026-08-09 00:39:27"
"PenDigits","UN-MCCD",NA,3200,16,1,0.103459119496855,0.551729559748428,0.0338868180277872,NA,NA,NA,NA,NA,FALSE,"99",368.187151908875,"ok",NA,"2026-08-09 00:45:35"
"PenDigits","SUN-MCCD",0.0625,3200,16,1,0.0792452830188679,0.539622641509434,0.0330250990752972,NA,NA,NA,NA,NA,FALSE,"999",189.448747158051,"ok",NA,"2026-08-09 00:48:44"
