"dataset","method","s_min","n","d","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","quant_label","t_total","status","note","timestamp"
"pageblocks","U-MCCD",NA,4795,10,0.986274509803922,0.563127187864644,0.774700848834283,0.56964892412231,NA,NA,NA,NA,NA,FALSE,"999",1371.17080616951,"ok",NA,"2026-08-09 00:53:15"
"pageblocks","SU-MCCD",0.0625,4795,10,0.986274509803922,0.474445740956826,0.730360125380374,0.524504692387904,NA,NA,NA,NA,NA,FALSE,"999",1001.38843083382,"ok",NA,"2026-08-09 01:09:57"
"pageblocks","UN-MCCD",NA,4795,10,0.0941176470588235,0.928588098016336,0.51135287253758,0.100250626566416,NA,NA,NA,NA,NA,FALSE,"99",1332.2470240593,"ok",NA,"2026-08-09 01:32:09"
"pageblocks","SUN-MCCD",0.0625,4795,10,0.986274509803922,0.478413068844807,0.732343789324365,0.526370866471327,NA,NA,NA,NA,NA,FALSE,"999",961.400856971741,"ok",NA,"2026-08-09 01:48:10"
