"dataset","method","n","d","min_cls","min_cls_readings","min_cls_units","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","unassigned_rows","quant_used","quant_label","param_source","t_construct","t_total","status","timestamp"
"wilt","U-MCCD",4819,5,NA,NA,NA,0.762645914396887,0.629767645769399,0.696206780083143,0.336422931685548,0.763,0.63,0.696,0.336,0.000422931685547523,TRUE,0,0.99,"99","quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",1262.59749484062,1262.59749484062,"ok","2026-08-08 22:07:29"
"wilt","SU-MCCD",4819,5,0.0266652832537871,"half_contam","proportion",0.295719844357977,0.785181937746602,0.540450891052289,0.182341650671785,0.3,0.785,0.542,0.185,0.00428015564202333,FALSE,0,0.99,"99","quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",1050.46309781075,1050.46309781075,"ok","2026-08-08 22:25:02"
"wilt","SU-MCCD",4819,5,0.0533305665075742,"full_contam","proportion",0.295719844357977,0.785181937746602,0.540450891052289,0.182341650671785,0.3,0.785,0.542,0.185,0.00428015564202333,FALSE,0,0.99,"99","quant=99 (paper default (main text L880): d<10 -> 99%, d>=10 -> 999%)",1082.20435094833,1082.20435094833,"ok","2026-08-08 22:43:09"
