"dataset","method","scaling","s_min","n","d","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","t_total","status","note","timestamp"
"waveform","U-MCCD","raw",0.0625,3443,21,0.45,0.846545019443613,0.648272509721807,0.234864300626305,0.87,0.678,0.774,0.278,0.42,FALSE,386.549247980118,"ok",NA,"2026-08-08 23:03:53"
"waveform","SUN-MCCD","raw",0.0625,3443,21,0.52,0.781334131020042,0.650667065510021,0.21978021978022,0.62,0.898,0.759,0.387,0.167,FALSE,287.692869901657,"ok",NA,"2026-08-08 23:08:41"
"waveform","U-MCCD","zscore",0.0625,3443,21,0.55,0.769667962907568,0.659833981453784,0.224489795918367,0.87,0.678,0.774,0.278,0.32,FALSE,373.42528796196,"ok",NA,"2026-08-08 23:14:54"
"waveform","SUN-MCCD","zscore",0.0625,3443,21,0.64,0.679030810649118,0.659515405324559,0.208197787898504,0.62,0.898,0.759,0.387,0.219,FALSE,271.729619979858,"ok",NA,"2026-08-08 23:19:26"
"waveform","U-MCCD","madn",0.0625,3443,21,0.77,0.685013460963207,0.727506730481603,0.251633986928105,0.87,0.678,0.774,0.278,0.1,FALSE,388.883128881454,"ok",NA,"2026-08-08 23:25:55"
"waveform","SUN-MCCD","madn",0.0625,3443,21,0.32,0.919533353275501,0.619766676637751,0.228245363766048,0.62,0.898,0.759,0.387,0.3,FALSE,269.718696832657,"ok",NA,"2026-08-08 23:30:25"
