"dataset","method","s_min","n","d","TPR","TNR","BA","F2","published_TPR","published_TNR","published_BA","published_F2","max_abs_diff","match_3dp","quant_label","t_total","status","note","timestamp"
"vowels","U-MCCD",NA,1452,12,1,0.327169274537696,0.663584637268848,0.195578231292517,1,0.327,0.664,0.196,0,TRUE,"999",29.6896631717682,"ok",NA,"2026-08-08 22:22:25"
"vowels","SU-MCCD",0.0625,1452,12,1,0.316500711237553,0.658250355618777,0.19311502938707,1,0.373,0.686,0.207,0.056,FALSE,"999",20.0677099227905,"ok",NA,"2026-08-08 22:22:45"
"vowels","UN-MCCD",NA,1452,12,1,0.541251778093883,0.770625889046942,0.262857142857143,1,0.541,0.771,0.263,0,TRUE,"99",25.6835489273071,"ok",NA,"2026-08-08 22:23:11"
"vowels","SUN-MCCD",0.0625,1452,12,0.978260869565217,0.562588904694168,0.770424887129693,0.266587677725118,0.978,0.676,0.827,0.328,0.113,FALSE,"999",16.645005941391,"ok",NA,"2026-08-08 22:23:28"
